"ID","location","duration","EffectSize","Power","AvgScaledL2Imbalance","Investment","AvgATT","Average_MDE","ProportionTotal_Y","abs_lift_in_zero","Holdout","rank","correlation"
1,"jacksonville, milwaukee",14,-0.05,1,0.347701562073918,4548.85,-150.597787869385,-0.0465193145534659,0.0393775433022195,0.003,0.0393775433022195,1,0.946291150511626
2,"atlanta, chicago",14,0.1,1,0.432280106716902,9661.6,346.612699083375,0.100496115968203,0.0416678369358647,0,0.958332163064135,2,0.963243075331083
3,"columbus, new york",14,0.1,1,0.36077982960768,11031.2,383.070102764378,0.096964660810638,0.0453231976272905,0.003,0.954676802372709,3,0.949124232714916
4,"dallas, denver",14,-0.05,1,0.274934374431396,3956.1,-162.903105417321,-0.057211186372964,0.0329868432824289,0.007,0.0329868432824289,3,0.956240937775419
5,"dallas, memphis",14,0.1,1,0.499906327462429,9208.6,346.036811619244,0.105769013849891,0.0377607825169915,0.006,0.962239217483009,5,0.941023307288214
6,"austin, oakland",14,-0.05,1,0.336850057674941,11903.35,-613.205471575128,-0.0705606093451211,0.0921954340523937,0.021,0.0921954340523937,6,0.948891198535423
7,"jacksonville, minneapolis",14,-0.1,1,0.227444209733433,6941.5,-271.69961345225,-0.108554094493102,0.0300994683634214,0.009,0.0300994683634214,6,0.936685948579053
8,"cleveland, denver",14,-0.05,1,0.393558762166379,4566.05,-243.140244092092,-0.0727631199991333,0.0392323937743486,0.023,0.0392323937743486,8,0.978763134192444
9,"dallas, washington",14,-0.1,1,0.347693254253515,6855.5,-190.813847560558,-0.0796928015505312,0.0281240901044025,0.02,0.0281240901044025,8,0.951446092993854
10,"kansas city, milwaukee",14,-0.1,1,0.412867877379623,11734.3,-313.109083481341,-0.0766513356634085,0.0497750100986551,0.023,0.0497750100986551,10,0.963510068469431
11,"boston, new orleans",14,-0.1,1,0.456596922780469,11529.6,-540.19263429604,-0.127219829745231,0.0513391765461786,0.027,0.0513391765461786,11,0.869732123218628
12,"baton rouge, cincinnati",14,-0.05,1,0.200737160977593,4048.65,-286.80831111519,-0.0945280954093375,0.0339659654991989,0.045,0.0339659654991989,12,0.884611253602508
13,"columbus, phoenix",14,0.1,1,0.651083581191816,15651.4,759.574463431282,0.140944091501588,0.0602743580915304,0.041,0.93972564190847,12,0.946423177738214
14,"chicago, cincinnati",14,0.1,1,0.17833493024482,8071.5,173.011636844805,0.0577102735263835,0.0340754918519442,0.042,0.965924508148056,14,0.935336773634783
15,"milwaukee, orlando",14,0.1,1,0.420240043320537,10200.8,498.88996139864,0.142191936365104,0.0439281463749217,0.042,0.956071853625078,14,0.96087723321495
16,"detroit, new orleans",14,-0.05,1,0.3466421601113,4616.4,-373.030158794837,-0.1064101751564,0.0421997988402135,0.056,0.0421997988402135,16,0.880175935055329
17,"indianapolis, tucson",14,0.1,1,0.681004356695817,12266.1,617.624657440212,0.147011474597732,0.0468624766510962,0.047,0.953137523348904,16,0.920323187690563
18,"cleveland, san francisco",14,-0.1,1,0.391453904570184,18773.2,-1092.83890251048,-0.153336097348718,0.0791228132006365,0.053,0.0791228132006365,18,0.954334427435652
19,"phoenix, portland",14,-0.05,1,0.429886720425238,7224.75,93.4242514404718,0.0194266181015152,0.0528191920533751,0.069,0.0528191920533751,18,0.900717529894665
20,"philadelphia, phoenix",14,0.05,1,0.551227862202106,13050.25,1050.57850282442,0.120243263894732,0.0996226220717289,0.07,0.900377377928271,20,0.932352015327319
21,"baltimore, philadelphia",14,0.05,1,0.707432090268433,11372.1,958.559365106221,0.126617447388664,0.0878386709356641,0.077,0.912161329064336,21,0.91849750029366
22,"atlanta, nashville",14,-0.05,1,0.493571494504784,5171.5,147.102631467499,0.0437528152824482,0.0442521166509878,0.094,0.0442521166509878,22,0.939745249706825
23,"houston, reno",14,-0.05,1,0.395897110399131,4685.45,-532.761425078037,-0.143517366327828,0.0422636711389927,0.094,0.0422636711389927,22,0.899196641642473
24,"los angeles, san antonio",14,0.05,1,0.777353287769596,5179.95,445.441493073641,0.129506838939675,0.0401878214286683,0.08,0.959812178571332,22,0.798363409475859
25,"new orleans, salt lake city",14,-0.05,1,0.576807382867717,7224.75,-872.627583661312,-0.151100771698285,0.0655504376987537,0.101,0.0655504376987537,25,0.862131371303785
26,"oakland, oklahoma city",14,-0.05,1,0.383401545555224,16472.15,590.247322268973,0.0557505943994067,0.124577659335088,0.106,0.124577659335088,26,0.941138261864115
27,"houston, san diego",14,-0.05,1,0.371166488283253,4754.25,-756.775837067257,-0.190007473826641,0.0441340233855029,0.14,0.0441340233855029,27,0.862474951176293
28,"las vegas, saint paul",14,-0.05,1,0.768848905030967,4248.25,-1000.31967280052,-0.257611131705104,0.044342503002486,0.208,0.044342503002486,28,0.74316928616847
29,"miami, phoenix",14,0.1,1,0.65937834137189,14941.5,1064.8658240332,0.221615773255823,0.0544675636621925,0.122,0.945532436337807,28,0.877807628984169
30,"honolulu, las vegas",14,0.1,1,0.482476832450882,7864.9,-609.066656354577,-0.164663842567552,0.0406498925069335,0.265,0.959350107493066,30,0.707416328058373
